ID_TypeImpact,TypeImpact,UnitofMeasure,ID_P_TypeImpact,ParentTypeImpact,,,,,
1,Area Burnt,Hectare,36,Agriculture,,,,,
2,Hay Bales,Count,36,Agriculture,,,Ignore,,
3,Bridges,Count,54,Infrastructure,,,People,Fatality,Male
4,Cattle,Count,36,Agriculture,,,,,Female
5,Clinics,Count,54,Infrastructure,,,,Injury,Male
6,Culverts,Count,54,Infrastructure,,,,,Female
8,Dams,Count,54,Infrastructure,,,,Other Impact,Male
9,Farms,Count,36,Agriculture,,,,,Female
10,Fatality,Count,60,People,,,Houses,,
11,Females Affected,Count,60,People,,,Infrastructure,,
12,Fences,Count,54,Infrastructure,,,,,
13,Fire Hydrants,Count,54,Infrastructure,,,Agriculture,Livestock,
14,Game,Count,,,,,,Game Stock,
15,Goats,Count,36,Agriculture,,,,Equipment,
16,Grazing Pasture,Hectare,36,Agriculture,,,,Pasture,
17,Horses,Count,36,Agriculture,,,,,
18,Households,Count,54,Infrastructure,,,,,
19,Houses,Count,54,Infrastructure,,,,,
20,Injury,Count,60,People,,,,,
21,Jojo Tanks,Count,54,Infrastructure,,,,,
22,Males Affected,Count,60,People,,,,,
23,Pump Stations,Count,54,Infrastructure,,,,,
24,Roads,Count,54,Infrastructure,,,,,
25,Schools,Count,54,Infrastructure,,,,,
26,Sewer Reticulations,Count,54,Infrastructure,,,,,
27,Sheep,Count,36,Agriculture,,,,,
28,Springboks,Count,14,Game,,,,,
29,Stores/Sheds,Count,36,Agriculture,,,,,
30,Storm Water Drains,Count,54,Infrastructure,,,,,
31,Water Infrastracture,Count,54,Infrastructure,,,,,
32,Water Pipes,Count,54,Infrastructure,,,,,
33,Zebras,Count,14,Game,,,,,
34,Hostels,Count,54,Infrastructure,,,,,
35,Informal Settlements,Count,54,Infrastructure,,,,,
36,Agriculture,Count,,,,,,,
37,Area Damaged,Hectare,36,Agriculture,,,,,
38,Creches,Count,54,Infrastructure,,,,,
39,Halls,Count,54,Infrastructure,,,,,
40,Sports Fields,Count,54,Infrastructure,,,,,
41,Buildings,Count,54,Infrastructure,,,,,
42,Municipal Infrastructure,Count,54,Infrastructure,,,,,
43,Municipal Houses,Count,54,Infrastructure,,,,,
44,Street Lights,Count,54,Infrastructure,,,,,
45,Electrical Switch Houses,Count,54,Infrastructure,,,,,
46,Transformers,Count,54,Infrastructure,,,,,
47,Sports Complex,Count,54,Infrastructure,,,,,
48,Sewer Pipeline,Count,54,Infrastructure,,,,,
49,Public Facilities,Count,54,Infrastructure,,,,,
50,Chickens,Count,36,Agriculture,,,,,
51,Cows,Count,36,Agriculture,,,,,
52,Health Infrastructure,Count,54,Infrastructure,,,,,
53,Human Settlements,Count,54,Infrastructure,,,,,
54,Infrastructure,Count,,,,,,,
55,Disabled Affected,Count,60,People,,,,,
56,Crops Damaged,Count,36,Agriculture,,,,,
57,Livestock Feed,Count,36,Agriculture,,,,,
58,Calves,Count,36,Agriculture,,,,,
59,Crocodiles,Count,14,Game,,,,,
60,People,Count,,,,,,,
61,Sanitation,Count,54,Infrastructure,,,,,
62,Children Affected,Count,60,People,,,,,
63,Sewer Pump Stations,Count,54,Infrastructure,,,,,
64,Fences,Kilometers,54,Infrastructure,,,,,
65,Roads,kilometres,54,Infrastructure,,,,,
66,Crops Damaged,kilometres,54,Infrastructure,,,,,
67,Water Pipes,kilometres,54,Infrastructure,,,,,
68,Agriculture Infrastructure,Count,36,Agriculture,,,,,
69,,,,,,,,,
70,,,,,,,,,